[rosmaster.main][INFO] 2018-12-05 10:58:25,333: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-12-05 10:58:25,333: Starting ROS Master Node
[xmlrpc][INFO] 2018-12-05 10:58:25,334: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-12-05 10:58:25,334: Started XML-RPC server [http://NAOrobUSB001:11311/]
[xmlrpc][INFO] 2018-12-05 10:58:25,334: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-12-05 10:58:25,334: Master initialized: port[11311], uri[http://NAOrobUSB001:11311/]
[rosmaster.master][INFO] 2018-12-05 10:58:25,421: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 10:58:25,422: +PARAM [/roslaunch/uris/host_naorobusb001__33289] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 10:58:25,467: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 10:58:25,467: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 10:58:25,467: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 10:58:25,467: +PARAM [/image_view/autosize] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 10:58:25,467: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 10:58:25,467: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 10:58:25,467: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 10:58:25,467: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 10:58:25,467: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 10:58:25,541: +SERVICE [/rosout/get_loggers] /rosout http://NAOrobUSB001:41057/
[rosmaster.master][INFO] 2018-12-05 10:58:25,542: +SERVICE [/rosout/set_logger_level] /rosout http://NAOrobUSB001:41057/
[rosmaster.master][INFO] 2018-12-05 10:58:25,543: +PUB [/rosout_agg] /rosout http://NAOrobUSB001:41057/
[rosmaster.master][INFO] 2018-12-05 10:58:25,545: +SUB [/rosout] /rosout http://NAOrobUSB001:41057/
[rosmaster.master][INFO] 2018-12-05 10:58:25,741: +PUB [/rosout] /image_view http://NAOrobUSB001:40275/
[rosmaster.master][INFO] 2018-12-05 10:58:25,741: +SERVICE [/image_view/get_loggers] /image_view http://NAOrobUSB001:40275/
[rosmaster.master][INFO] 2018-12-05 10:58:25,742: +SERVICE [/image_view/set_logger_level] /image_view http://NAOrobUSB001:40275/
[rosmaster.master][INFO] 2018-12-05 10:58:25,752: +PUB [/rosout] /usb_cam http://NAOrobUSB001:44907/
[rosmaster.master][INFO] 2018-12-05 10:58:25,752: +SERVICE [/usb_cam/get_loggers] /usb_cam http://NAOrobUSB001:44907/
[rosmaster.master][INFO] 2018-12-05 10:58:25,753: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://NAOrobUSB001:44907/
[rosmaster.master][INFO] 2018-12-05 10:58:25,816: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://NAOrobUSB001:44907/
[rosmaster.master][INFO] 2018-12-05 10:58:25,816: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://NAOrobUSB001:44907/
[rosmaster.master][INFO] 2018-12-05 10:58:25,817: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://NAOrobUSB001:44907/
[rosmaster.master][INFO] 2018-12-05 10:58:25,818: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://NAOrobUSB001:44907/
[rosmaster.master][INFO] 2018-12-05 10:58:25,821: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2018-12-05 10:58:25,822: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2018-12-05 10:58:25,823: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2018-12-05 10:58:25,824: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2018-12-05 10:58:25,825: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2018-12-05 10:58:25,826: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2018-12-05 10:58:25,834: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://NAOrobUSB001:44907/
[rosmaster.master][INFO] 2018-12-05 10:58:25,834: publisherUpdate[/rosout] -> http://NAOrobUSB001:41057/ ['http://NAOrobUSB001:40275/']
[rosmaster.master][INFO] 2018-12-05 10:58:25,836: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://NAOrobUSB001:44907/
[rosmaster.master][INFO] 2018-12-05 10:58:25,836: publisherUpdate[/rosout] -> http://NAOrobUSB001:41057/ ['http://NAOrobUSB001:40275/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2018-12-05 10:58:25,837: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://NAOrobUSB001:44907/
[rosmaster.master][INFO] 2018-12-05 10:58:25,837: publisherUpdate[/rosout] -> http://NAOrobUSB001:41057/ ['http://NAOrobUSB001:40275/', 'http://NAOrobUSB001:44907/']
[rosmaster.master][INFO] 2018-12-05 10:58:25,838: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://NAOrobUSB001:44907/
[rosmaster.master][INFO] 2018-12-05 10:58:25,838: publisherUpdate[/rosout] -> http://NAOrobUSB001:41057/ ['http://NAOrobUSB001:40275/', 'http://NAOrobUSB001:44907/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2018-12-05 10:58:25,841: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2018-12-05 10:58:25,842: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2018-12-05 10:58:25,842: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
