[rosmaster.main][INFO] 2018-12-05 10:58:58,178: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-12-05 10:58:58,178: Starting ROS Master Node
[xmlrpc][INFO] 2018-12-05 10:58:58,178: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-12-05 10:58:58,178: Started XML-RPC server [http://NAOrobUSB001:11311/]
[xmlrpc][INFO] 2018-12-05 10:58:58,179: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-12-05 10:58:58,179: Master initialized: port[11311], uri[http://NAOrobUSB001:11311/]
[rosmaster.master][INFO] 2018-12-05 10:58:58,271: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 10:58:58,272: +PARAM [/roslaunch/uris/host_naorobusb001__37949] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 10:58:58,307: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 10:58:58,307: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 10:58:58,307: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 10:58:58,307: +PARAM [/image_view/autosize] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 10:58:58,307: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 10:58:58,307: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 10:58:58,307: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 10:58:58,307: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 10:58:58,307: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 10:58:58,310: +SERVICE [/rosout/get_loggers] /rosout http://NAOrobUSB001:34245/
[rosmaster.master][INFO] 2018-12-05 10:58:58,311: +SERVICE [/rosout/set_logger_level] /rosout http://NAOrobUSB001:34245/
[rosmaster.master][INFO] 2018-12-05 10:58:58,312: +PUB [/rosout_agg] /rosout http://NAOrobUSB001:34245/
[rosmaster.master][INFO] 2018-12-05 10:58:58,314: +SUB [/rosout] /rosout http://NAOrobUSB001:34245/
[rosmaster.master][INFO] 2018-12-05 10:58:58,326: +PUB [/rosout] /usb_cam http://NAOrobUSB001:35199/
[rosmaster.master][INFO] 2018-12-05 10:58:58,326: +SERVICE [/usb_cam/get_loggers] /usb_cam http://NAOrobUSB001:35199/
[rosmaster.master][INFO] 2018-12-05 10:58:58,327: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://NAOrobUSB001:35199/
[rosmaster.master][INFO] 2018-12-05 10:58:58,333: +PUB [/rosout] /image_view http://NAOrobUSB001:36743/
[rosmaster.master][INFO] 2018-12-05 10:58:58,378: publisherUpdate[/rosout] -> http://NAOrobUSB001:34245/ ['http://NAOrobUSB001:35199/']
[rosmaster.master][INFO] 2018-12-05 10:58:58,455: +SERVICE [/image_view/get_loggers] /image_view http://NAOrobUSB001:36743/
[rosmaster.master][INFO] 2018-12-05 10:58:58,455: publisherUpdate[/rosout] -> http://NAOrobUSB001:34245/ ['http://NAOrobUSB001:35199/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2018-12-05 10:58:58,456: publisherUpdate[/rosout] -> http://NAOrobUSB001:34245/ ['http://NAOrobUSB001:35199/', 'http://NAOrobUSB001:36743/']
[rosmaster.master][INFO] 2018-12-05 10:58:58,457: +SERVICE [/image_view/set_logger_level] /image_view http://NAOrobUSB001:36743/
[rosmaster.master][INFO] 2018-12-05 10:58:58,457: publisherUpdate[/rosout] -> http://NAOrobUSB001:34245/ ['http://NAOrobUSB001:35199/', 'http://NAOrobUSB001:36743/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2018-12-05 10:58:58,473: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://NAOrobUSB001:35199/
[rosmaster.master][INFO] 2018-12-05 10:58:58,474: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://NAOrobUSB001:35199/
[rosmaster.master][INFO] 2018-12-05 10:58:58,475: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://NAOrobUSB001:35199/
