[rosmaster.main][INFO] 2018-12-05 13:51:37,826: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-12-05 13:51:37,826: Starting ROS Master Node
[xmlrpc][INFO] 2018-12-05 13:51:37,826: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-12-05 13:51:37,826: Started XML-RPC server [http://NAOrobUSB001:11311/]
[xmlrpc][INFO] 2018-12-05 13:51:37,826: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-12-05 13:51:37,827: Master initialized: port[11311], uri[http://NAOrobUSB001:11311/]
[rosmaster.master][INFO] 2018-12-05 13:51:37,916: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 13:51:37,917: +PARAM [/roslaunch/uris/host_naorobusb001__43697] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 13:51:37,973: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 13:51:37,973: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 13:51:37,976: +SERVICE [/rosout/get_loggers] /rosout http://NAOrobUSB001:33387/
[rosmaster.master][INFO] 2018-12-05 13:51:37,977: +SERVICE [/rosout/set_logger_level] /rosout http://NAOrobUSB001:33387/
[rosmaster.master][INFO] 2018-12-05 13:51:37,978: +PUB [/rosout_agg] /rosout http://NAOrobUSB001:33387/
[rosmaster.master][INFO] 2018-12-05 13:51:37,980: +SUB [/rosout] /rosout http://NAOrobUSB001:33387/
[rosmaster.master][INFO] 2018-12-05 13:51:54,106: -PUB [/rosout_agg] /rosout http://NAOrobUSB001:33387/
[rosmaster.master][INFO] 2018-12-05 13:51:54,106: -SUB [/rosout] /rosout http://NAOrobUSB001:33387/
[rosmaster.master][INFO] 2018-12-05 13:51:54,107: -SERVICE [/rosout/get_loggers] /rosout rosrpc://NAOrobUSB001:54955
[rosmaster.master][INFO] 2018-12-05 13:51:54,107: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://NAOrobUSB001:54955
[rosmaster.main][INFO] 2018-12-05 13:51:54,140: keyboard interrupt, will exit
[rosmaster.main][INFO] 2018-12-05 13:51:54,140: stopping master...
[rospy.core][INFO] 2018-12-05 13:51:54,140: signal_shutdown [atexit]
