[rosmaster.main][INFO] 2018-12-05 14:07:08,564: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-12-05 14:07:08,564: Starting ROS Master Node
[xmlrpc][INFO] 2018-12-05 14:07:08,565: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-12-05 14:07:08,565: Started XML-RPC server [http://NAOrobUSB001:11311/]
[xmlrpc][INFO] 2018-12-05 14:07:08,565: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-12-05 14:07:08,565: Master initialized: port[11311], uri[http://NAOrobUSB001:11311/]
[rosmaster.master][INFO] 2018-12-05 14:07:08,655: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 14:07:08,656: +PARAM [/roslaunch/uris/host_naorobusb001__35113] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 14:07:08,720: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 14:07:08,720: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 14:07:08,743: +SERVICE [/rosout/get_loggers] /rosout http://NAOrobUSB001:34603/
[rosmaster.master][INFO] 2018-12-05 14:07:08,744: +SERVICE [/rosout/set_logger_level] /rosout http://NAOrobUSB001:34603/
[rosmaster.master][INFO] 2018-12-05 14:07:08,745: +PUB [/rosout_agg] /rosout http://NAOrobUSB001:34603/
[rosmaster.master][INFO] 2018-12-05 14:07:08,747: +SUB [/rosout] /rosout http://NAOrobUSB001:34603/
[rosmaster.master][INFO] 2018-12-05 14:07:29,792: +PARAM [/roslaunch/uris/host_naorobusb001__43813] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 14:07:29,796: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 14:07:29,796: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 14:07:29,796: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 14:07:29,796: +PARAM [/image_view/autosize] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 14:07:29,796: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 14:07:29,796: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 14:07:29,796: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 14:07:29,796: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 14:07:29,797: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 14:07:29,973: +PUB [/rosout] /image_view http://NAOrobUSB001:41543/
[rosmaster.master][INFO] 2018-12-05 14:07:29,974: +SERVICE [/image_view/get_loggers] /image_view http://NAOrobUSB001:41543/
[rosmaster.master][INFO] 2018-12-05 14:07:29,974: +SERVICE [/image_view/set_logger_level] /image_view http://NAOrobUSB001:41543/
[rosmaster.master][INFO] 2018-12-05 14:07:30,005: publisherUpdate[/rosout] -> http://NAOrobUSB001:34603/ ['http://NAOrobUSB001:41543/']
[rosmaster.master][INFO] 2018-12-05 14:07:30,007: publisherUpdate[/rosout] -> http://NAOrobUSB001:34603/ ['http://NAOrobUSB001:41543/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2018-12-05 14:07:30,099: +PUB [/rosout] /usb_cam http://NAOrobUSB001:40961/
[rosmaster.master][INFO] 2018-12-05 14:07:30,100: +SERVICE [/usb_cam/get_loggers] /usb_cam http://NAOrobUSB001:40961/
[rosmaster.master][INFO] 2018-12-05 14:07:30,100: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://NAOrobUSB001:40961/
[rosmaster.master][INFO] 2018-12-05 14:07:30,105: publisherUpdate[/rosout] -> http://NAOrobUSB001:34603/ ['http://NAOrobUSB001:41543/', 'http://NAOrobUSB001:40961/']
