[rosmaster.main][INFO] 2018-12-05 11:01:42,706: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-12-05 11:01:42,706: Starting ROS Master Node
[xmlrpc][INFO] 2018-12-05 11:01:42,707: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-12-05 11:01:42,707: Started XML-RPC server [http://NAOrobUSB001:11311/]
[xmlrpc][INFO] 2018-12-05 11:01:42,707: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-12-05 11:01:42,707: Master initialized: port[11311], uri[http://NAOrobUSB001:11311/]
[rosmaster.master][INFO] 2018-12-05 11:01:42,797: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:01:42,798: +PARAM [/roslaunch/uris/host_naorobusb001__46479] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:01:42,836: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:01:42,836: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:01:42,839: +SERVICE [/rosout/get_loggers] /rosout http://NAOrobUSB001:39015/
[rosmaster.master][INFO] 2018-12-05 11:01:42,839: +SERVICE [/rosout/set_logger_level] /rosout http://NAOrobUSB001:39015/
[rosmaster.master][INFO] 2018-12-05 11:01:42,841: +PUB [/rosout_agg] /rosout http://NAOrobUSB001:39015/
[rosmaster.master][INFO] 2018-12-05 11:01:42,843: +SUB [/rosout] /rosout http://NAOrobUSB001:39015/
[rosmaster.master][INFO] 2018-12-05 11:02:06,498: +PARAM [/usb_cam/framerate] by /usb_cam
[rosmaster.master][INFO] 2018-12-05 11:02:06,500: +PUB [/rosout] /usb_cam http://NAOrobUSB001:44559/
[rosmaster.master][INFO] 2018-12-05 11:02:06,501: +SERVICE [/usb_cam/get_loggers] /usb_cam http://NAOrobUSB001:44559/
[rosmaster.master][INFO] 2018-12-05 11:02:06,501: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://NAOrobUSB001:44559/
[rosmaster.master][INFO] 2018-12-05 11:02:06,527: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://NAOrobUSB001:44559/
[rosmaster.master][INFO] 2018-12-05 11:02:06,528: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://NAOrobUSB001:44559/
[rosmaster.master][INFO] 2018-12-05 11:02:06,528: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://NAOrobUSB001:44559/
[rosmaster.master][INFO] 2018-12-05 11:02:06,529: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://NAOrobUSB001:44559/
[rosmaster.master][INFO] 2018-12-05 11:02:06,530: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2018-12-05 11:02:06,530: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2018-12-05 11:02:06,531: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2018-12-05 11:02:06,531: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
