

1544015711.178833325  Node Startup
1544015903.659920157 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544015904.160127526 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544015904.660036755 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544015905.160129490 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544015917.890896778 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544015918.390995750 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544015918.891025320 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544015919.391028082 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016060.116026987 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016060.616138141 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016061.116160850 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016061.616082778 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016062.116097455 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016062.616091375 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016063.116078231 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016063.616109321 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016064.116060659 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016064.616051720 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
